ano,id_municipio,taxa_bruta_matricula_pre_escola,numero_absoluto_bruto_matricula_pre_escola,taxa_liquida_matricula_pre_escola,numero_absoluto_liquido_matricula_pre_escola
2018,1200336,77.7,703,72.2,653
2019,1200336,87.3,804,80,737
2010,1200344,55.8,261,37.4,175
2011,1200344,81.5,339,60.1,250
2012,1200344,72.4,305,49.4,208
2013,1200344,76.6,329,70.3,302
2014,1200344,72,314,63.6,277
2015,1200344,61.5,272,55.8,247
2016,1200344,55,247,52.8,237
2017,1200344,63.5,289,56.7,258
2018,1200344,64.5,308,58,277
2019,1200344,65.3,316,58.7,284
2010,1200351,73,704,54.5,526
2011,1200351,76.3,716,56,525
2012,1200351,75.4,727,53.1,512
2013,1200351,78.9,798,68.4,691
2014,1200351,46.8,489,42.9,448
2015,1200351,65.6,706,58.7,632
2016,1200351,56.7,629,50.9,565
2017,1200351,60,684,52.9,604
2018,1200351,60.4,709,55.7,654
2019,1200351,51.1,615,44.2,532
2010,1200385,89.7,698,63.8,496
2011,1200385,95.1,730,73.4,564
2012,1200385,79.5,616,57,442
2013,1200385,88,690,74.1,581
2014,1200385,78.8,624,71.1,563
2015,1200385,69.4,555,65.2,522
2016,1200385,71.7,579,63.7,515
2017,1200385,76.1,621,66.3,541
2018,1200385,65.5,565,60.8,524
2019,1200385,63.8,556,58.5,509
2010,1200393,48.5,281,33.9,196
2011,1200393,56.1,347,37.1,229
2012,1200393,47.6,303,33.2,211
2013,1200393,68.8,457,50.4,335
2014,1200393,50.4,345,38.6,264
2015,1200393,36.8,259,31.1,219
2016,1200393,60.9,441,54.3,393
2017,1200393,70.3,523,59.2,440
2018,1200393,70.4,540,59.8,459
2019,1200393,64.1,503,53.6,421
2010,1200401,81.2,10240,57.2,7220
2011,1200401,83.7,10332,57.1,7042
2012,1200401,76.3,9580,50,6276
2013,1200401,79.5,10234,74.1,9540
2014,1200401,80.6,10574,74.6,9786
2015,1200401,80.2,10715,73.7,9849
2016,1200401,82.7,11250,77.7,10558
2017,1200401,83.3,11523,78.6,10863
2018,1200401,78.1,11297,74.4,10757
2019,1200401,77.9,11437,74.2,10896
2010,1200427,90.9,730,62.4,501
2011,1200427,73,627,45.1,387
2012,1200427,70.2,622,43,381
2013,1200427,75.5,700,68.9,639
2014,1200427,67.2,643,58.4,559
2015,1200427,62.5,616,55.5,547
2016,1200427,58.7,595,53.7,545
2017,1200427,64.2,669,55.1,574
2018,1200427,60.9,654,51.5,553
2019,1200427,54.6,600,49,539
2010,1200435,49.4,157,30.5,97
2011,1200435,42.5,145,28.2,96
2012,1200435,40.8,145,25.1,89
2013,1200435,37.7,142,35.3,133
2014,1200435,36.7,144,33.4,131
2015,1200435,27,110,25.8,105
2016,1200435,57.3,242,52.1,220
2017,1200435,58.4,255,50.3,220
2018,1200435,47.3,211,43.7,195
2019,1200435,59.1,271,53.8,247
2010,1200450,99.5,822,70.8,585
2011,1200450,108.2,912,76.3,643
2012,1200450,110.1,938,76.1,648
2013,1200450,100.3,863,88.5,762
2014,1200450,90,782,80.7,701
2015,1200450,83,728,78.1,685
2016,1200450,91.5,809,87.2,771
2017,1200450,90.3,805,82.5,736
2018,1200450,92.2,870,83.9,792
2019,1200450,88.6,844,82.1,782
2010,1200500,46.9,816,33.6,585
2011,1200500,51.6,880,35.2,601
2012,1200500,58.5,1013,35.4,613
2013,1200500,50.9,903,44.2,785
2014,1200500,46.3,837,38.7,700
2015,1200500,48,883,37,680
2016,1200500,50.5,944,46,859
2017,1200500,50.1,951,45,854
2018,1200500,48.2,959,43.4,863
2019,1200500,49.2,994,44.3,894
2010,1200609,56.3,1222,39.2,851
2011,1200609,44.6,916,29.6,607
2012,1200609,49,1023,32.2,671
2013,1200609,55.4,1182,51.2,1093
2014,1200609,60.9,1320,50.3,1090
2015,1200609,60.1,1325,50.6,1114
2016,1200609,57.4,1285,53.6,1199
